timestamp,DA_Price,actual_load,forecast_load,solar_generation,wind_on_generation,wind_off_generation,fossil_hard_coal_generation,fossil_gas_generation
2021-01-07 00,42.4,47071.6,48897.24,0.0,580.34,1712.69,10613.07,22174.49
2021-01-07 01,40.54,46124.86,47871.619999999995,0.0,654.05,2227.1099999999997,10674.97,21689.41
2021-01-07 02,43.1,45694.869999999995,47686.57,0.0,609.83,2728.71,11029.06,23281.68
2021-01-07 03,45.0,46000.72,48522.95,0.0,645.8199999999999,2463.33,11154.0,25127.25
2021-01-07 04,45.81,47682.79,50314.13,0.0,737.06,3264.56,11485.57,25537.45
2021-01-07 05,46.46,52342.08,53003.48,0.0,959.25,3485.97,11413.93,28394.52
2021-01-07 06,58.31,58967.14,57190.29,0.0,989.9,3654.02,11504.27,30364.61
2021-01-07 07,81.4,64717.3,61798.96,0.03,917.85,3411.79,11571.33,33204.02
2021-01-07 08,81.17,66227.14,63889.73,17.509999999999998,1015.6,3696.99,11795.51,33651.63
2021-01-07 09,79.81,65759.7,63490.5,61.129999999999995,1151.84,2980.04,11813.960000000001,32937.82
2021-01-07 10,83.24,65081.54,62598.47,96.51,1051.1100000000001,2520.05,11295.01,33944.3
2021-01-07 11,82.0,64695.18,61793.44,122.54,1212.9299999999998,2759.71,11750.34,33401.69
2021-01-07 12,79.61,64652.869999999995,60854.53,87.35,1297.42,2646.95,11588.93,33613.270000000004
2021-01-07 13,80.4,64421.17,60785.2,59.44,1319.34,3103.21,11733.130000000001,34793.04
2021-01-07 14,83.57,64578.32,61510.15,30.58,1457.6799999999998,2585.55,11793.07,34742.27
2021-01-07 15,89.68,65594.18,62426.04,2.77,1447.01,3046.73,11871.76,34792.54
2021-01-07 16,100.0,68455.73999999999,64558.09,0.0,1466.5900000000001,3342.17,11847.47,34712.39
2021-01-07 17,80.0,65076.56,61618.82,0.0,1432.62,3782.01,11709.29,32339.370000000003
2021-01-07 18,62.9,62478.36,58782.8,0.0,1397.76,3789.9,11344.7,31163.56
2021-01-07 19,44.0,59626.74,56602.09,0.0,1396.67,3285.0,11491.8,30007.47
2021-01-07 20,45.9,56561.83,54310.34,0.0,1352.33,3126.6,11381.67,29953.89
2021-01-07 21,50.54,53018.270000000004,52791.71,0.0,1521.1799999999998,2908.27,11597.7,30085.29
2021-01-07 22,41.9,50308.16,51197.630000000005,0.0,1444.8600000000001,2467.88,11065.9,26388.11
2021-01-07 23,45.41,48136.79,49386.67,0.0,1342.04,2564.87,11702.6,30800.1
2021-01-08 00,42.13,46702.29,48648.34,0.0,1388.3899999999999,2645.62,10925.86,28956.21
2021-01-08 01,42.39,45740.31,47286.67,0.0,1256.65,2474.8,10489.03,28522.29
2021-01-08 02,42.07,45505.83,46443.72,0.0,1146.35,2142.79,11020.66,28009.62
2021-01-08 03,43.83,45903.16,46269.0,0.0,1037.6,1772.52,11673.6,30863.420000000002
2021-01-08 04,48.17,47582.8,47040.7,0.0,1013.3,1513.5,11899.96,33338.33
2021-01-08 05,57.73,52032.93,48827.520000000004,0.0,958.02,1625.25,11980.8,33418.130000000005
2021-01-08 06,74.9,58337.13,51423.19,0.0,657.35,1558.4099999999999,12066.14,33560.3
2021-01-08 07,103.54,64200.04,54335.5,0.56,406.78,1390.2,12037.59,34878.82
2021-01-08 08,110.45,65798.93,55817.02,27.59,304.13,1080.05,11933.6,34862.19
2021-01-08 09,109.96,64693.0,55240.17,95.89,229.72,1103.79,11921.67,34451.229999999996
2021-01-08 10,106.82,63180.69,53380.65,197.05,182.51,719.9,11633.39,34915.31
2021-01-08 11,102.37,62387.88,52237.9,217.13,181.64,392.41,11869.0,35104.43
2021-01-08 12,97.61,61734.94,52516.04,217.28,170.57,364.05,12031.81,34940.9
2021-01-08 13,95.0,61426.66,53763.34,148.26,177.88,363.49,12046.93,35025.44
2021-01-08 14,95.42,62034.13,56092.71,69.92,198.09,367.74,12013.1,35018.97
2021-01-08 15,95.0,63652.1,58547.28,8.9,226.89,191.55,12031.210000000001,34795.11
2021-01-08 16,110.0,67546.43,61985.78,0.0,308.76,369.67,12021.21,36956.29
2021-01-08 17,87.44,64700.68,59768.67,0.0,415.63,352.62,11850.17,37217.53
2021-01-08 18,56.81,61805.31,57451.06,0.0,363.0,379.58,11992.04,35203.66
2021-01-08 19,45.1,58742.850000000006,55521.26,0.0,278.59,206.57999999999998,11960.69,32216.32
2021-01-08 20,44.88,55780.06,53430.56,0.0,280.65999999999997,193.35,11872.64,30492.260000000002
2021-01-08 21,46.26,52662.7,51556.91,0.0,313.73,169.69,11822.0,29329.02
2021-01-08 22,43.2,50292.94,49693.85,0.0,329.52,75.45,11510.369999999999,28658.18
2021-01-08 23,50.67,48123.25,49164.47,0.0,402.07,446.23,11786.84,28302.09
2021-01-09 00,48.6,46567.29,48043.38,0.0,422.01,257.8,11750.11,26709.49
2021-01-09 01,48.02,45382.75,46617.61,0.0,564.64,315.2,11717.16,26777.440000000002
2021-01-09 02,49.25,44694.07,45962.95,0.0,507.03,488.55,11632.68,26829.55
2021-01-09 03,49.63,44344.32,45658.95,0.0,453.45,300.3,11629.5,27640.42
2021-01-09 04,47.2,45002.009999999995,45994.619999999995,0.0,447.27,136.31,11626.73,29070.2
2021-01-09 05,46.72,46714.82,47209.71,0.0,545.8100000000001,169.76,11709.57,30263.620000000003
2021-01-09 06,50.49,49428.43,49039.83,0.0,475.09,208.68,11754.130000000001,32826.13
2021-01-09 07,59.8,52604.14,51552.1,1.38,514.66,281.11,11802.2,32878.21
2021-01-09 08,66.92,54485.64,53244.03,51.3,561.1,329.27,11820.96,33736.85
2021-01-09 09,67.71,54069.33,53822.479999999996,147.07999999999998,590.91,368.76,11821.64,33773.18
2021-01-09 10,68.0,52337.25,53465.27,217.85,700.34,405.19,11832.4,33084.72
2021-01-09 11,67.01,50554.04,53820.33,248.87,669.57,324.9,11836.470000000001,32492.57
2021-01-09 12,62.53,49867.14,54195.94,261.09999999999997,737.03,296.87,11835.76,32447.73
2021-01-09 13,60.0,50825.55,55014.29,164.46,791.57,459.16999999999996,11837.76,33365.770000000004
2021-01-09 14,60.0,53167.25,55834.42,54.19,916.17,639.7,11814.04,33824.92
2021-01-09 15,62.78,56167.89,56718.32,8.02,1253.58,655.76,11823.34,33758.71
2021-01-09 16,69.92,61178.53,59047.3,0.0,1298.5,735.64,11819.54,33762.4
2021-01-09 17,71.99,59807.7,56826.94,0.0,1382.21,588.25,11809.5,34079.33
2021-01-09 18,68.95,57655.41,54298.55,0.0,1300.3,428.04,11831.23,34006.32
2021-01-09 19,62.66,55045.95,52868.07,0.0,1397.5,244.61,11853.99,33674.53
2021-01-09 20,53.21,52228.56,51017.57,0.0,1026.29,148.95000000000002,11782.3,31963.29
2021-01-09 21,54.77,50215.770000000004,49247.759999999995,0.0,676.88,196.99,11373.61,29753.59
2021-01-09 22,45.0,48103.58,47873.22,0.0,557.8,475.12,11548.5,24023.379999999997
2021-01-09 23,51.72,46224.36,44829.03,0.0,579.1400000000001,922.4399999999999,11619.9,21099.55
2021-01-10 00,45.73,44648.43,43692.65,0.0,755.63,1104.3899999999999,11658.77,15444.57
2021-01-10 01,46.3,43537.869999999995,42341.79,0.0,665.39,1559.38,11746.51,14338.67
2021-01-10 02,46.39,43095.22,42094.46,0.0,560.38,1752.79,11649.09,14666.91
2021-01-10 03,46.3,43020.479999999996,42676.57,0.0,810.16,1937.3799999999999,11094.93,14118.32
2021-01-10 04,45.35,43389.44,43072.97,0.0,943.45,2037.24,10806.2,13574.099999999999
2021-01-10 05,46.3,44202.17,43509.04,0.0,1145.74,2109.38,10799.9,14845.06
2021-01-10 06,46.1,45514.71,44737.85,0.0,1271.72,1707.83,11272.03,16135.93
2021-01-10 07,53.13,47926.33,47057.08,5.88,1360.43,1880.08,11675.01,18243.27
2021-01-10 08,51.88,50088.11,49356.590000000004,52.46,1323.28,1917.22,11757.9,18207.74
2021-01-10 09,47.2,50391.25,50958.759999999995,160.01,1278.34,1936.05,11676.439999999999,17245.25
2021-01-10 10,48.1,49996.4,51886.73,202.85,1276.48,1942.7,11492.57,17329.53
2021-01-10 11,46.3,49958.1,52507.53,162.32,1408.1399999999999,2090.29,11415.74,16654.65
2021-01-10 12,47.81,50177.71,52896.86,130.18,1517.8600000000001,2698.27,11494.39,16523.260000000002
2021-01-10 13,53.18,51264.990000000005,53930.51,69.27,1771.48,2699.15,11698.98,18008.82
2021-01-10 14,54.85,53002.11,55032.8,28.849999999999998,2012.97,2352.77,11759.5,19347.85
2021-01-10 15,56.52,55427.57,56610.82,3.31,2189.37,2786.26,11850.8,18587.05
2021-01-10 16,62.09,60420.520000000004,59659.3,0.0,2241.65,1880.51,11895.23,19556.25
2021-01-10 17,63.41,58633.33,57643.84,0.0,2306.46,1362.46,11901.43,19569.89
2021-01-10 18,55.24,56564.24,55963.41,0.0,2376.7200000000003,887.9,11826.6,18257.78
2021-01-10 19,48.05,54130.3,54377.03,0.0,2414.57,961.87,11559.199999999999,17731.79
2021-01-10 20,46.94,51596.01,52432.16,0.0,2463.55,1269.37,11008.33,16728.33
2021-01-10 21,45.02,49267.36,50973.47,0.0,2395.7,1869.0,10550.119999999999,13824.09
2021-01-10 22,45.1,46708.01,49188.26,0.0,2440.17,2291.49,9905.77,13893.869999999999
2021-01-10 23,47.75,45506.8,47598.92,0.0,2496.4,3940.7,10291.43,12592.36
2021-01-11 00,46.1,44645.04,46721.100000000006,0.0,2898.34,4631.58,8984.220000000001,11490.85
2021-01-11 01,45.33,43846.869999999995,46370.2,0.0,3309.02,5153.72,8216.17,11529.619999999999
2021-01-11 02,44.59,43602.78,46194.18,0.0,3752.27,5138.49,8239.57,10704.8
2021-01-11 03,44.58,43972.54,46644.72,0.0,3962.66,5086.97,8252.67,11279.82
2021-01-11 04,43.41,45956.35,48167.29,0.0,4216.76,5186.31,8530.76,11961.5
2021-01-11 05,44.19,50829.13,51807.58,0.0,4215.03,5238.54,9494.939999999999,15716.4
2021-01-11 06,52.0,57717.54,56620.06,0.0,4300.13,5326.23,11061.83,20780.93
2021-01-11 07,59.15,63970.869999999995,61819.54,0.0,4533.07,5377.51,11525.619999999999,22571.22
2021-01-11 08,59.19,66171.08,64123.36,2.8600000000000003,4668.68,5750.87,11730.0,22842.03
2021-01-11 09,52.0,66393.55,64415.270000000004,12.57,4691.09,5878.9400000000005,11670.689999999999,22547.51
2021-01-11 10,46.12,66248.24,64254.92,27.47,4831.9400000000005,5747.96,11610.04,22542.06
2021-01-11 11,45.6,66137.6,64213.97,65.2,5029.76,6197.72,11340.3,21627.35
2021-01-11 12,45.1,66077.54000000001,64231.37,47.01,5098.3099999999995,6395.87,11151.17,21196.65
2021-01-11 13,45.9,65597.6,64598.350000000006,33.31,5108.53,6385.58,11149.470000000001,21096.9
2021-01-11 14,45.07,65336.59,65126.880000000005,18.919999999999998,5214.07,6431.29,11215.83,20365.61
2021-01-11 15,45.9,65910.5,65650.68,2.07,5285.3,6418.22,11271.32,20580.67
2021-01-11 16,52.0,68377.08,67525.68,0.0,5418.95,6229.27,11671.24,21480.96
2021-01-11 17,44.35,64967.57,63475.11,0.0,5517.62,6268.12,10122.630000000001,18314.13
2021-01-11 18,40.5,62355.51,60516.840000000004,0.0,5760.7,6394.86,8702.14,16713.71
2021-01-11 19,38.34,59324.93,58226.59,0.0,5934.73,6401.37,8591.99,14011.68
2021-01-11 20,45.1,55927.59,55797.67,0.0,6146.48,6398.49,7903.860000000001,12217.02
2021-01-11 21,34.31,52518.97,53152.0,0.0,5980.85,6334.32,7823.7300000000005,8635.9
2021-01-11 22,27.39,49788.57,50891.16,0.0,5779.43,6150.63,7186.07,8661.64
2021-01-11 23,24.43,47700.56,49911.62,0.0,6151.58,6385.01,6980.33,7772.650000000001
2021-01-12 00,24.61,46185.72,48663.19,0.0,6222.88,5593.76,7098.43,7310.27
2021-01-12 01,19.51,45204.91,47618.67,0.0,6025.89,5020.15,7013.14,7174.99
2021-01-12 02,24.38,45038.02,47337.03,0.0,5757.84,5035.22,6970.09,6872.13
2021-01-12 03,27.16,45419.95,47544.59,0.0,5451.18,4847.54,7115.93,6740.46
2021-01-12 04,36.18,47379.81,48821.75,0.0,4904.82,4594.04,7663.7,8100.85
2021-01-12 05,47.7,51803.82,52109.22,0.0,4112.83,4526.13,9938.06,14031.279999999999
2021-01-12 06,60.0,58658.31,57004.34,0.0,3147.37,4348.98,11367.77,18683.32
2021-01-12 07,62.65,64315.36,62546.42,0.05,2674.81,5140.12,11293.43,20734.27
2021-01-12 08,83.13,65265.880000000005,63891.17,17.240000000000002,2613.47,5105.58,10674.33,21217.11
2021-01-12 09,71.0,63760.3,65881.92,90.18,2542.1,4937.58,10533.69,21581.88
2021-01-12 10,57.17,61021.97,66249.21,280.37,2597.6800000000003,5182.11,10423.07,20643.5
2021-01-12 11,58.39,58752.369999999995,66308.4,348.63,3195.41,5237.28,11204.4,18503.85
2021-01-12 12,53.39,57964.16,65899.51,251.6,3990.48,5560.4,11482.970000000001,17997.15
2021-01-12 13,49.63,58368.1,66227.53,156.05,4052.92,5263.85,11484.81,19320.52
2021-01-12 14,53.73,60392.55,66527.02,91.34,3805.7200000000003,5331.75,11660.01,19671.26
2021-01-12 15,68.02,63267.47,67022.45,15.67,3228.0699999999997,5547.82,11754.83,20879.01
2021-01-12 16,87.19,67628.95,68449.02,0.0,3131.6800000000003,5369.67,11774.5,21404.8
2021-01-12 17,62.4,65338.8,64955.16,0.0,3220.38,5341.95,11748.66,20951.010000000002
