MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
04/01/2023 19:00:00 - 04/01/2023 20:00:00,BZN|NL,Without Sequence,129.49,,
04/01/2023 20:00:00 - 04/01/2023 21:00:00,BZN|NL,Without Sequence,122.4,,
04/01/2023 21:00:00 - 04/01/2023 22:00:00,BZN|NL,Without Sequence,129.39,,
04/01/2023 22:00:00 - 04/01/2023 23:00:00,BZN|NL,Without Sequence,108.96,,
04/01/2023 23:00:00 - 05/01/2023 00:00:00,BZN|NL,Without Sequence,106,,
05/01/2023 00:00:00 - 05/01/2023 01:00:00,BZN|NL,Without Sequence,5.4,,
05/01/2023 01:00:00 - 05/01/2023 02:00:00,BZN|NL,Without Sequence,3.63,,
05/01/2023 02:00:00 - 05/01/2023 03:00:00,BZN|NL,Without Sequence,4.9,,
05/01/2023 03:00:00 - 05/01/2023 04:00:00,BZN|NL,Without Sequence,0,,
05/01/2023 04:00:00 - 05/01/2023 05:00:00,BZN|NL,Without Sequence,6.87,,
05/01/2023 05:00:00 - 05/01/2023 06:00:00,BZN|NL,Without Sequence,16.32,,
05/01/2023 06:00:00 - 05/01/2023 07:00:00,BZN|NL,Without Sequence,67.8,,
05/01/2023 07:00:00 - 05/01/2023 08:00:00,BZN|NL,Without Sequence,119.9,,
05/01/2023 08:00:00 - 05/01/2023 09:00:00,BZN|NL,Without Sequence,179,,
05/01/2023 09:00:00 - 05/01/2023 10:00:00,BZN|NL,Without Sequence,171.04,,
05/01/2023 10:00:00 - 05/01/2023 11:00:00,BZN|NL,Without Sequence,169.47,,
05/01/2023 11:00:00 - 05/01/2023 12:00:00,BZN|NL,Without Sequence,154,,
05/01/2023 12:00:00 - 05/01/2023 13:00:00,BZN|NL,Without Sequence,146,,
05/01/2023 13:00:00 - 05/01/2023 14:00:00,BZN|NL,Without Sequence,145.1,,
05/01/2023 14:00:00 - 05/01/2023 15:00:00,BZN|NL,Without Sequence,151.03,,
05/01/2023 15:00:00 - 05/01/2023 16:00:00,BZN|NL,Without Sequence,159.48,,
05/01/2023 16:00:00 - 05/01/2023 17:00:00,BZN|NL,Without Sequence,172.73,,
05/01/2023 17:00:00 - 05/01/2023 18:00:00,BZN|NL,Without Sequence,222.1,,
05/01/2023 18:00:00 - 05/01/2023 19:00:00,BZN|NL,Without Sequence,194.67,,
05/01/2023 19:00:00 - 05/01/2023 20:00:00,BZN|NL,Without Sequence,177.98,,
05/01/2023 20:00:00 - 05/01/2023 21:00:00,BZN|NL,Without Sequence,163.99,,
